fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-02-17,1984.21,2129.82,1316.16,31.82,23.18,True,14.82,9.21,6.79,True,4.16,1.84,True
2022-02-18,1983.94,2129.18,1316.22,31.18,23.82,True,14.18,8.94,7.06,True,4.22,1.78,True
2022-02-19,1984.51,2128.42,1315.69,30.42,24.58,True,13.42,9.51,6.49,True,3.69,2.31,True
2022-02-20,1984.93,2127.78,1315.51,29.78,25.22,True,12.78,9.93,6.07,True,3.51,2.49,True
2022-02-21,1984.31,2127.08,1315.51,29.08,25.92,True,12.08,9.31,6.69,True,3.51,2.49,True
2022-02-22,1982.98,2126.04,1315.28,28.04,26.96,True,11.04,7.98,8.02,True,3.28,2.72,True
2022-02-23,1982.34,2125.58,1316.01,27.58,27.42,True,10.58,7.34,8.66,True,4.01,1.99,True
2022-02-24,1981.88,2125.52,1315.65,27.52,27.48,True,10.52,6.88,9.12,True,3.65,2.35,True
2022-02-25,1981.45,2125.73,1315.81,27.73,27.27,True,10.73,6.45,9.55,True,3.81,2.19,True
2022-02-26,1981.08,2126.54,1315.1,28.54,26.46,True,11.54,6.08,9.92,True,3.1,2.9,True
2022-02-27,1982.78,2126.87,1315.78,28.87,26.13,True,11.87,7.78,8.22,True,3.78,2.22,True
2022-02-28,,,,,,False,,,,False,,,False
2022-03-01,1985.13,2128.12,1314.95,30.12,24.88,True,13.12,10.13,5.87,True,2.95,3.05,True
2022-03-02,1985.31,2130.32,1315.01,32.32,22.68,True,15.32,10.31,5.69,True,3.01,2.99,True
2022-03-03,1984.56,2131.86,1315.78,33.86,21.14,True,16.86,9.56,6.44,True,3.78,2.22,True
2022-03-04,1985.04,2132.65,1315.48,34.65,20.35,True,17.65,10.04,5.96,True,3.48,2.52,True
2022-03-05,1985.46,2133.25,1315.69,35.25,19.75,True,18.25,10.46,5.54,True,3.69,2.31,True
2022-03-06,1985.49,2134.47,1315.51,36.47,18.53,True,19.47,10.49,5.51,True,3.51,2.49,True
2022-03-07,1985.73,2134.47,1315.83,36.47,18.53,True,19.47,10.73,5.27,True,3.83,2.17,True
2022-03-08,1985.59,2134.06,1314.83,36.06,18.94,True,19.06,10.59,5.41,True,2.83,3.17,True
2022-03-09,1984.59,2133.4,1315.83,35.4,19.6,True,18.4,9.59,6.41,True,3.83,2.17,True
2022-03-10,1984.58,2132.24,1315.33,34.24,20.76,True,17.24,9.58,6.42,True,3.33,2.67,True
